userid,key,summary,agent1,agent2,selection,value,time,worseAgent,betterAgent,comparisonType
53f29622,confidence,first,400,200,200,4,1.50809E+12,200,400,1
53f29622,confidence,max,200,2000,2000,5,1.50809E+12,200,2000,3
53f29622,confidence,max,2000,400,400,5,1.50809E+12,400,2000,2
53f29622,confidence,random,400,200,400,6,1.50809E+12,200,400,1
58d296ab,confidence,random,400,2000,400,5,1.50809E+12,400,2000,2
53f29622,confidence,first,400,2000,2000,2,1.50809E+12,400,2000,2
c4a2972c,confidence,max,200,400,200,5,1.50809E+12,200,400,1
58d296ab,confidence,random,200,2000,200,6,1.50809E+12,200,2000,3
53f29622,confidence,random,400,2000,400,4,1.50809E+12,400,2000,2
50b29693,confidence,first,200,2000,200,7,1.50809E+12,200,2000,3
c4a2972c,confidence,random,2000,200,2000,5,1.50809E+12,200,2000,3
58d296ab,confidence,max,200,400,400,5,1.50809E+12,200,400,1
53f29622,confidence,max,400,200,200,3,1.50809E+12,200,400,1
c4a2972c,confidence,random,2000,400,400,6,1.50809E+12,400,2000,2
50b29693,confidence,first,400,2000,400,7,1.50809E+12,400,2000,2
b1b2976a,confidence,random,400,200,400,7,1.50809E+12,200,400,1
53f29622,confidence,random,200,2000,200,3,1.50809E+12,200,2000,3
c4a2972c,confidence,random,200,400,200,6,1.50809E+12,200,400,1
58d296ab,confidence,first,2000,400,400,4,1.50809E+12,400,2000,2
b1b2976a,confidence,random,2000,200,2000,7,1.50809E+12,200,2000,3
53f29622,confidence,first,200,2000,200,3,1.50809E+12,200,2000,3
50b29693,confidence,max,2000,200,2000,7,1.50809E+12,200,2000,3
c4a2972c,confidence,first,200,2000,200,6,1.50809E+12,200,2000,3
58d296ab,confidence,first,200,400,200,6,1.50809E+12,200,400,1
b1b2976a,confidence,first,2000,400,400,7,1.50809E+12,400,2000,2
c4a2972c,confidence,max,2000,400,2000,6,1.50809E+12,400,2000,2
50b29693,confidence,first,400,200,200,7,1.50809E+12,200,400,1
b1b2976a,confidence,first,2000,200,200,7,1.50809E+12,200,2000,3
