userid,key,agent,summary1,summary2,value,time,valueNormalized,comparisonType
53f29622,preference,2000,max,random,5,1.50809E+12,3,vsRand
53f29622,preference,400,random,max,6,1.50809E+12,6,vsRand
53f29622,preference,400,first,max,7,1.50809E+12,7,vsFirst
53f29622,preference,2000,max,first,1,1.50809E+12,7,vsFirst
c4a2972c,preference,400,random,max,2,1.50809E+12,2,vsRand
b1b2976a,preference,2000,random,max,1,1.50809E+12,1,vsRand
c4a2972c,preference,2000,first,max,2,1.50809E+12,2,vsFirst
b1b2976a,preference,400,max,first,7,1.50809E+12,1,vsFirst
c4a2972c,preference,2000,random,max,7,1.50809E+12,7,vsRand
50b29693,preference,400,random,max,6,1.50809E+12,6,vsRand
b1b2976a,preference,2000,max,first,1,1.50809E+12,7,vsFirst
c4a2972c,preference,400,first,max,2,1.50809E+12,2,vsFirst
58d296ab,preference,400,max,first,2,1.50809E+12,6,vsFirst
b1b2976a,preference,400,random,max,1,1.50809E+12,1,vsRand
50b29693,preference,400,max,first,7,1.50809E+12,1,vsFirst
58d296ab,preference,2000,max,random,3,1.50809E+12,5,vsRand
50b29693,preference,2000,max,random,1,1.50809E+12,7,vsRand
58d296ab,preference,2000,max,first,2,1.50809E+12,6,vsFirst
50b29693,preference,2000,first,max,7,1.50809E+12,7,vsFirst
58d296ab,preference,400,random,max,6,1.50809E+12,6,vsRand
abf299f0,preference,2000,first,max,7,1.50809E+12,7,vsFirst
1db29b40,preference,2000,max,random,3,1.50809E+12,5,vsRand
abf299f0,preference,400,max,first,2,1.50809E+12,6,vsFirst
1db29b40,preference,400,max,random,6,1.50809E+12,2,vsRand
abf299f0,preference,400,random,max,2,1.50809E+12,2,vsRand
1db29b40,preference,2000,max,first,1,1.50809E+12,7,vsFirst
b5b29b74,preference,400,max,first,2,1.50809E+12,6,vsFirst
abf299f0,preference,2000,random,max,6,1.50809E+12,6,vsRand
1db29b40,preference,400,max,first,3,1.50809E+12,5,vsFirst
b5b29b74,preference,400,max,random,1,1.50809E+12,7,vsRand
9be29b07,preference,400,max,first,2,1.50809E+12,6,vsFirst
b5b29b74,preference,2000,random,max,6,1.50809E+12,6,vsRand
b5b29b74,preference,2000,max,first,1,1.50809E+12,7,vsFirst
9be29b07,preference,400,random,max,7,1.50809E+12,7,vsRand
49a298f1,preference,2000,max,first,1,1.50809E+12,7,vsFirst
9be29b07,preference,2000,max,random,1,1.50809E+12,7,vsRand
e7c29d29,preference,2000,max,first,1,1.50809E+12,7,vsFirst
49a298f1,preference,400,max,first,1,1.50809E+12,7,vsFirst
9be29b07,preference,2000,first,max,7,1.50809E+12,7,vsFirst
e7c29d29,preference,400,max,first,1,1.50809E+12,7,vsFirst
dbc29b73,preference,400,random,max,3,1.50809E+12,3,vsRand
e7c29d29,preference,2000,random,max,4,1.50809E+12,4,vsRand
